SRC-L2,NN-L1-SRC,CRC-L2,LinearOT-SRC,CircularOT-SRC,CircularOT-1NN,RBF-SVM,GS-SRC-linear,GS-SRC-circular,GS-effective-atoms,dataset,k,seed
0.85,0.85,0.85,0.7,0.8166666666666667,0.8,0.85,0.7333333333333333,0.9166666666666666,2.0652925968170166,LFW-Face,3,16
0.85,0.85,0.8666666666666667,0.7166666666666667,0.7833333333333333,0.8,0.8833333333333333,0.8166666666666667,0.7666666666666667,1.8018656969070435,LFW-Face,3,17
0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.8666666666666667,0.8,0.7833333333333333,0.9166666666666666,0.9,1.8842934370040894,LFW-Face,3,18
0.85,0.85,0.85,0.8,0.7833333333333333,0.8333333333333334,0.9166666666666666,0.85,0.9333333333333333,1.7416359186172485,LFW-Face,3,19
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.85,0.8833333333333333,0.85,0.9166666666666666,0.9,0.8833333333333333,2.261929512023926,LFW-Face,5,5
0.8333333333333334,0.8333333333333334,0.8166666666666667,0.8,0.8333333333333334,0.8333333333333334,0.7666666666666667,0.9333333333333333,0.85,2.406141519546509,LFW-Face,5,6
0.9,0.9,0.9166666666666666,0.8166666666666667,0.85,0.8,0.8833333333333333,0.9,0.9,2.2082808017730713,LFW-Face,5,7
0.8333333333333334,0.8166666666666667,0.8,0.7666666666666667,0.8333333333333334,0.8333333333333334,0.9,0.8166666666666667,0.9333333333333333,2.2445664405822754,LFW-Face,5,8
0.8166666666666667,0.8166666666666667,0.8166666666666667,0.7333333333333333,0.8,0.7833333333333333,0.8166666666666667,0.85,0.8833333333333333,2.412044048309326,LFW-Face,5,9
0.9,0.9,0.9,0.7666666666666667,0.9333333333333333,0.8833333333333333,0.9666666666666667,0.9166666666666666,0.9333333333333333,2.162318468093872,LFW-Face,5,10
0.85,0.85,0.8166666666666667,0.7666666666666667,0.8666666666666667,0.8,0.8833333333333333,0.95,0.9166666666666666,2.521071672439575,LFW-Face,5,11
0.9,0.9,0.9166666666666666,0.85,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,2.2678794860839844,LFW-Face,5,12
0.9333333333333333,0.9333333333333333,0.8833333333333333,0.8166666666666667,0.8666666666666667,0.8166666666666667,0.8666666666666667,0.95,0.9666666666666667,2.2404017448425293,LFW-Face,5,13
0.6833333333333333,0.7166666666666667,0.6833333333333333,0.7166666666666667,0.7,0.7166666666666667,0.8333333333333334,0.7833333333333333,0.8333333333333334,2.5456767082214355,LFW-Face,5,14
0.7666666666666667,0.7666666666666667,0.7833333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8333333333333334,0.8666666666666667,0.8333333333333334,2.397388219833374,LFW-Face,5,15
0.8666666666666667,0.8333333333333334,0.8666666666666667,0.75,0.8166666666666667,0.7833333333333333,0.8333333333333334,0.7666666666666667,0.9166666666666666,2.365206241607666,LFW-Face,5,16
0.8833333333333333,0.9,0.9,0.8166666666666667,0.8166666666666667,0.8,0.9,0.9,0.8666666666666667,2.2658746242523193,LFW-Face,5,17
0.7833333333333333,0.7833333333333333,0.8,0.75,0.8,0.7833333333333333,0.8,0.9166666666666666,0.9,2.553607940673828,LFW-Face,5,18
0.85,0.85,0.85,0.8166666666666667,0.8333333333333334,0.8666666666666667,0.9166666666666666,0.85,0.95,2.20796537399292,LFW-Face,5,19
0.9,0.9,0.8833333333333333,0.8,0.9,0.8333333333333334,0.95,0.9,0.9,3.1705474853515625,LFW-Face,10,5
0.8333333333333334,0.8333333333333334,0.85,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.7833333333333333,0.9166666666666666,0.8666666666666667,3.0499114990234375,LFW-Face,10,6
0.9333333333333333,0.9166666666666666,0.9333333333333333,0.8333333333333334,0.8666666666666667,0.8,0.8833333333333333,0.8833333333333333,0.9,3.242495536804199,LFW-Face,10,7
0.8166666666666667,0.8,0.85,0.75,0.7833333333333333,0.85,0.8833333333333333,0.8166666666666667,0.85,3.2485837936401367,LFW-Face,10,8
0.8833333333333333,0.8666666666666667,0.8666666666666667,0.85,0.9,0.8,0.8333333333333334,0.9,0.9166666666666666,3.2698512077331543,LFW-Face,10,9
0.95,0.95,0.9166666666666666,0.85,0.95,0.8666666666666667,0.9166666666666666,0.95,0.9666666666666667,3.0930187702178955,LFW-Face,10,10
0.8833333333333333,0.9,0.9,0.9,0.9,0.8333333333333334,0.8833333333333333,0.9166666666666666,0.9333333333333333,3.1406912803649902,LFW-Face,10,11
0.9166666666666666,0.8833333333333333,0.9166666666666666,0.85,0.9,0.8166666666666667,0.95,0.9166666666666666,0.9666666666666667,3.1637816429138184,LFW-Face,10,12
0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8833333333333333,0.9166666666666666,0.9,0.95,0.95,0.9333333333333333,3.027005672454834,LFW-Face,10,13
0.8166666666666667,0.8333333333333334,0.8,0.6833333333333333,0.7333333333333333,0.7,0.8166666666666667,0.8,0.8833333333333333,3.107485294342041,LFW-Face,10,14
0.7833333333333333,0.7833333333333333,0.8166666666666667,0.75,0.75,0.7666666666666667,0.8833333333333333,0.8833333333333333,0.8166666666666667,3.154989004135132,LFW-Face,10,15
0.85,0.8666666666666667,0.8666666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8666666666666667,0.8833333333333333,0.9166666666666666,3.1012449264526367,LFW-Face,10,16
0.9166666666666666,0.9333333333333333,0.9,0.8833333333333333,0.9,0.8166666666666667,0.9,0.9666666666666667,0.9166666666666666,3.134551525115967,LFW-Face,10,17
0.8,0.7833333333333333,0.8,0.75,0.7666666666666667,0.7666666666666667,0.8833333333333333,0.95,0.9333333333333333,3.0379490852355957,LFW-Face,10,18
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8,0.8,0.8333333333333334,0.9333333333333333,0.85,0.9166666666666666,2.7467687129974365,LFW-Face,10,19
