dataset,k,method,mean,std
Digits,10,CircularOT-SRC,0.7806666666666665,0.0384460041889302
Digits,10,CircularOT-1NN,0.7840000000000001,0.034599752269963695
Digits,10,RBF-SVM,0.7913333333333334,0.03226379365406957
Digits,10,GS-SRC-linear,0.7919999999999998,0.04021371478914695
Digits,10,GS-SRC-circular,0.8273333333333334,0.03731462116089284
Digits,10,GS-effective-atoms,3.3035983085632323,0.13072820592771872
LFW-Face,1,SRC-L2,0.6666666666666666,0.11019463300386798
LFW-Face,1,NN-L1-SRC,0.6666666666666666,0.11019463300386798
LFW-Face,1,CRC-L2,0.6666666666666666,0.11478067422089476
LFW-Face,1,LinearOT-SRC,0.6411111111111112,0.104438534111732
LFW-Face,1,CircularOT-SRC,0.661111111111111,0.12274419565151569
LFW-Face,1,CircularOT-1NN,0.7033333333333334,0.12758439472669758
LFW-Face,1,RBF-SVM,0.6066666666666667,0.07888106377466156
LFW-Face,1,GS-SRC-linear,0.6644444444444445,0.10232741309590246
LFW-Face,1,GS-SRC-circular,0.7011111111111111,0.14343665526661611
LFW-Face,1,GS-effective-atoms,1.0,0.0
LFW-Face,2,SRC-L2,0.772222222222222,0.08277591347639633
LFW-Face,2,NN-L1-SRC,0.7744444444444444,0.08258393197290756
LFW-Face,2,CRC-L2,0.7777777777777778,0.08132500607904443
LFW-Face,2,LinearOT-SRC,0.6977777777777778,0.07685966046898336
LFW-Face,2,CircularOT-SRC,0.77,0.050865524545625075
LFW-Face,2,CircularOT-1NN,0.758888888888889,0.05803210204468618
LFW-Face,2,RBF-SVM,0.8,0.08357108940373449
LFW-Face,2,GS-SRC-linear,0.7733333333333333,0.09318014639685689
LFW-Face,2,GS-SRC-circular,0.8366666666666666,0.0699205898780101
LFW-Face,2,GS-effective-atoms,1.4597885211308796,0.10210241501669173
LFW-Face,3,SRC-L2,0.8022222222222222,0.08088465888119972
LFW-Face,3,NN-L1-SRC,0.8011111111111112,0.08151995243805435
LFW-Face,3,CRC-L2,0.8,0.08237544710479137
LFW-Face,3,LinearOT-SRC,0.7255555555555556,0.06751445073612805
LFW-Face,3,CircularOT-SRC,0.7799999999999999,0.07378647873726221
LFW-Face,3,CircularOT-1NN,0.7700000000000001,0.0630570414481244
LFW-Face,3,RBF-SVM,0.8344444444444442,0.06999622060847926
LFW-Face,3,GS-SRC-linear,0.8211111111111109,0.09353436399889214
LFW-Face,3,GS-SRC-circular,0.8600000000000001,0.06690433824641323
LFW-Face,3,GS-effective-atoms,1.862209415435791,0.11866154421729146
LFW-Face,5,SRC-L2,0.8422222222222223,0.06326646428120905
LFW-Face,5,NN-L1-SRC,0.8422222222222223,0.058711923380944914
LFW-Face,5,CRC-L2,0.8388888888888889,0.06225481006043929
LFW-Face,5,LinearOT-SRC,0.7833333333333332,0.043186564636231085
LFW-Face,5,CircularOT-SRC,0.8266666666666667,0.0566246342712181
LFW-Face,5,CircularOT-1NN,0.8077777777777777,0.045367400831445685
LFW-Face,5,RBF-SVM,0.868888888888889,0.053772989423449304
LFW-Face,5,GS-SRC-linear,0.8811111111111111,0.05734422192653577
LFW-Face,5,GS-SRC-circular,0.898888888888889,0.040564795642313356
LFW-Face,5,GS-effective-atoms,2.3373568534851072,0.12991188216802424
LFW-Face,10,SRC-L2,0.8699999999999999,0.05426273532033233
LFW-Face,10,NN-L1-SRC,0.8677777777777779,0.05508531142139011
LFW-Face,10,CRC-L2,0.8711111111111112,0.04562905414328221
LFW-Face,10,LinearOT-SRC,0.8144444444444444,0.06037799802496472
LFW-Face,10,CircularOT-SRC,0.8466666666666669,0.06906403745685065
LFW-Face,10,CircularOT-1NN,0.8144444444444445,0.046660997388061454
LFW-Face,10,RBF-SVM,0.8877777777777778,0.04938778633582838
LFW-Face,10,GS-SRC-linear,0.8988888888888888,0.04857765288472015
LFW-Face,10,GS-SRC-circular,0.9077777777777776,0.040759976219027196
LFW-Face,10,GS-effective-atoms,3.1125916957855226,0.12545281465248548
